fa20-final			Question Type	Difficulty	Topics			
place question numbers below	questionName							
q2	fa20-final-q2	WWJD, easy, Java, Sorting, , , , , , , 	WWJD	easy	Java	Sorting		
q3	fa20-final-q3	Conceptual, moderate, Java, Tree Traversals, , , , , , , 	Conceptual	moderate	Java	Tree Traversals		
q4a	fa20-final-q4a	Coding, moderate, Java, Iterators, , , , , , , 	Coding	moderate	Java	Iterators		
q4b	fa20-final-q4b	Coding, easy, Java, Iterators, , ADTs, , , , , 	Coding	easy	Java	Iterators		ADTs
q4c	fa20-final-q4c	Coding, moderate, Java, Comparators, Heaps / PQs, , , , , , 	Coding	moderate	Java	Comparators	Heaps / PQs	
q5	fa20-final-q5	Conceptual, moderate, Sorting, Asymptotics, , , , , , , 	Conceptual	moderate	Sorting	Asymptotics		
q6	fa20-final-q6	Conceptual, moderate, MSTs, , , , , , , , 	Conceptual	moderate	MSTs			
q7	fa20-final-q7	WWJD, moderate, Hashing, Java, Equals, , , , , , 	WWJD	moderate	Hashing	Java	Equals	
q8a	fa20-final-q8a	Conceptual, moderate, Red-Black Trees, BSTs, , , , , , , 	Conceptual	moderate	Red-Black Trees	BSTs		
q8b	fa20-final-q8b	Conceptual, moderate, Red-Black Trees, BSTs, , , , , , , 	Conceptual	moderate	Red-Black Trees	BSTs		
q8c	fa20-final-q8c	Coding, hard, Red-Black Trees, BSTs, , Tree Traversals, , , , , 	Coding	hard	Red-Black Trees	BSTs		Tree Traversals
q8d	fa20-final-q8d	PNH, hard, , , , , , , , , 	PNH	hard				
q9	fa20-final-q9	Conceptual, moderate, Graph Traversals, SPTs, , , , , , , 	Conceptual	moderate	Graph Traversals	SPTs		
q10a	fa20-final-q10a	Conceptual, moderate, Graph Traversals, SPTs, , , , , , , 	Conceptual	moderate	Graph Traversals	SPTs		
q10b	fa20-final-q10b	Algorithm Design, hard, SPTs, , , , , , , , 	Algorithm Design	hard	SPTs			
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
		, , , , , , , , , , 						
